layer,head,head_id,correlation,rank
1,18,L1H18,0.06868420887455455,408
28,11,L28H11,0.06867322202896392,409
28,16,L28H16,0.0685104736840487,410
13,20,L13H20,0.06843991566440995,411
4,30,L4H30,0.0681585628801802,412
27,6,L27H6,0.06814347917496319,413
25,6,L25H6,0.06783536169706651,414
5,15,L5H15,0.06773123881248119,415
12,31,L12H31,0.06723495297638502,416
27,14,L27H14,0.06715225238647063,417
26,23,L26H23,0.06666834412397604,418
10,20,L10H20,0.06664835920473951,419
11,30,L11H30,0.06632122005689857,420
8,13,L8H13,0.06621174338502334,421
31,3,L31H3,0.06594507796683494,422
13,6,L13H6,0.06580570374952595,423
5,19,L5H19,0.06577383277390489,424
21,22,L21H22,0.06560998525540182,425
26,10,L26H10,0.06559535021116136,426
25,3,L25H3,0.06558838954587827,427
8,20,L8H20,0.06519044594097126,428
11,9,L11H9,0.06515158483987561,429
17,30,L17H30,0.06498710206286507,430
19,18,L19H18,0.06497148127032075,431
0,26,L0H26,0.06494748718207748,432
25,26,L25H26,0.0647851155221748,433
6,3,L6H3,0.06478319972403185,434
2,13,L2H13,0.06474316060249777,435
5,27,L5H27,0.06464484261960547,436
34,21,L34H21,0.06446193162771359,437
25,29,L25H29,0.06412030064701957,438
11,27,L11H27,0.06365064153399516,439
12,25,L12H25,0.06343374074805948,440
35,8,L35H8,0.0631629995320025,441
26,21,L26H21,0.06299094240490584,442
10,28,L10H28,0.06276332650826331,443
12,27,L12H27,0.06257841846947246,444
1,29,L1H29,0.06257393960728501,445
8,17,L8H17,0.06228123525709184,446
32,22,L32H22,0.061960051279039655,447
10,6,L10H6,0.06099157755099072,448
19,21,L19H21,0.060987342625425364,449
27,18,L27H18,0.06039565749041501,450
5,17,L5H17,0.0602407690760572,451
28,6,L28H6,0.059905430946905855,452
28,23,L28H23,0.05945785449876014,453
18,11,L18H11,0.059378449851644755,454
27,19,L27H19,0.05917279143903774,455
34,6,L34H6,0.05905891686831031,456
19,23,L19H23,0.059035843789101025,457
14,9,L14H9,0.0589378846252039,458
6,23,L6H23,0.058867859133480825,459
15,31,L15H31,0.05869242894002559,460
11,3,L11H3,0.05867502691946275,461
10,13,L10H13,0.05846185866431536,462
5,10,L5H10,0.058448137182469086,463
11,2,L11H2,0.05844504512535277,464
9,30,L9H30,0.05809412962566492,465
34,26,L34H26,0.05808218817169235,466
4,14,L4H14,0.057994866529455104,467
7,20,L7H20,0.05782212072581594,468
28,18,L28H18,0.05762107636283235,469
4,6,L4H6,0.05733715948797151,470
35,21,L35H21,0.05724338317744304,471
12,11,L12H11,0.05720915744608488,472
25,18,L25H18,0.05691739017466709,473
23,25,L23H25,0.056840906522437305,474
30,2,L30H2,0.05681479423065259,475
27,27,L27H27,0.056174511743021203,476
13,28,L13H28,0.05613670587514928,477
26,12,L26H12,0.05590288991344925,478
6,17,L6H17,0.05568057925609114,479
15,25,L15H25,0.05515167713711496,480
35,7,L35H7,0.055072741601381224,481
9,21,L9H21,0.055025354777630466,482
8,10,L8H10,0.05501108179041976,483
